Day,Number of Bicycle Hires
2010-07-30,6897
2010-07-31,5564
2010-08-01,4303
2010-08-02,6642
2010-08-03,7966
2010-08-04,7893
2010-08-05,8724
2010-08-06,9797
2010-08-07,6631
2010-08-08,7864
2010-08-09,6191
2010-08-10,4802
2010-08-11,14013
2010-08-12,13080
2010-08-13,12151
2010-08-14,9195
2010-08-15,10928
2010-08-16,15384
2010-08-17,15396
2010-08-18,16062
2010-08-19,17170
2010-08-20,16462
2010-08-21,11719
2010-08-22,10129
2010-08-23,12935
2010-08-24,17006
2010-08-25,10062
2010-08-26,9875
2010-08-27,12854
2010-08-28,10116
2010-08-29,7811
2010-08-30,10534
2010-08-31,17508
2010-09-01,19332
2010-09-02,20909
2010-09-03,20113
2010-09-04,14373
2010-09-05,12924
2010-09-06,16841
2010-09-07,25361
2010-09-08,18727
2010-09-09,20774
2010-09-10,19532
2010-09-11,13383
2010-09-12,14002
2010-09-13,18037
2010-09-14,17026
2010-09-15,20890
2010-09-16,20433
2010-09-17,20488
2010-09-18,15495
2010-09-19,11492
2010-09-20,20169
2010-09-21,22906
2010-09-22,23905
2010-09-23,17729
2010-09-24,18053
2010-09-25,14010
2010-09-26,7890
2010-09-27,18789
2010-09-28,21554
2010-09-29,13899
2010-09-30,21823
2010-10-01,11424
2010-10-02,10704
2010-10-03,8237
2010-10-04,23688
2010-10-05,22054
2010-10-06,20114
2010-10-07,24072
2010-10-08,22886
2010-10-09,14463
2010-10-10,14871
2010-10-11,21986
2010-10-12,23016
2010-10-13,22251
2010-10-14,21582
2010-10-15,20934
2010-10-16,12735
2010-10-17,12764
2010-10-18,20464
2010-10-19,17964
2010-10-20,20750
2010-10-21,21161
2010-10-22,20164
2010-10-23,11584
2010-10-24,11259
2010-10-25,18430
2010-10-26,13950
2010-10-27,19559
2010-10-28,19995
2010-10-29,19119
2010-10-30,13493
2010-10-31,8739
2010-11-01,19785
2010-11-02,21754
2010-11-03,27964
2010-11-04,22424
2010-11-05,15815
2010-11-06,11877
2010-11-07,9331
2010-11-08,11328
2010-11-09,16026
2010-11-10,19767
2010-11-11,12901
2010-11-12,14534
2010-11-13,12123
2010-11-14,6235
2010-11-15,18086
2010-11-16,18764
2010-11-17,17005
2010-11-18,15974
2010-11-19,18545
2010-11-20,10806
2010-11-21,8356
2010-11-22,17258
2010-11-23,17427
2010-11-24,18628
2010-11-25,16822
2010-11-26,16092
2010-11-27,7867
2010-11-28,6866
2010-11-29,16681
2010-11-30,9263
2010-12-01,9848
2010-12-02,7356
2010-12-03,8264
2010-12-04,7857
2010-12-05,8321
2010-12-06,13855
2010-12-07,15033
2010-12-08,15225
2010-12-09,16171
2010-12-10,15602
2010-12-11,10328
2010-12-12,8585
2010-12-13,14997
2010-12-14,15550
2010-12-15,13412
2010-12-16,10833
2010-12-17,10366
2010-12-18,2805
2010-12-19,2764
2010-12-20,6876
2010-12-21,7879
2010-12-22,9718
2010-12-23,8867
2010-12-24,5402
2010-12-25,5621
2010-12-26,4383
2010-12-27,3971
2010-12-28,3763
2010-12-29,7010
2010-12-30,7464
2010-12-31,7448
2011-01-01,4555
2011-01-02,6250
2011-01-03,7262
2011-01-04,13430
2011-01-05,13757
2011-01-06,9595
2011-01-07,9294
2011-01-08,9338
2011-01-09,10558
2011-01-10,16058
2011-01-11,16412
2011-01-12,13894
2011-01-13,15911
2011-01-14,14834
2011-01-15,11851
2011-01-16,10471
2011-01-17,10835
2011-01-18,17703
2011-01-19,18350
2011-01-20,17957
2011-01-21,16509
2011-01-22,10658
2011-01-23,9911
2011-01-24,17193
2011-01-25,17045
2011-01-26,16396
2011-01-27,16519
2011-01-28,15538
2011-01-29,9379
2011-01-30,9455
2011-01-31,16260
2011-02-01,16331
2011-02-02,18102
2011-02-03,15593
2011-02-04,14938
2011-02-05,8442
2011-02-06,9437
2011-02-07,16537
2011-02-08,19829
2011-02-09,18197
2011-02-10,11496
2011-02-11,16070
2011-02-12,12855
2011-02-13,7034
2011-02-14,17836
2011-02-15,15667
2011-02-16,18989
2011-02-17,18938
2011-02-18,17460
2011-02-19,6250
2011-02-20,7882
2011-02-21,13720
2011-02-22,15948
2011-02-23,12936
2011-02-24,19230
2011-02-25,18634
2011-02-26,7749
2011-02-27,8349
2011-02-28,13843
2011-03-01,15774
2011-03-02,16929
2011-03-03,16576
2011-03-04,16971
2011-03-05,9847
2011-03-06,7142
2011-03-07,16192
2011-03-08,17240
2011-03-09,18494
2011-03-10,18794
2011-03-11,19074
2011-03-12,15488
2011-03-13,10526
2011-03-14,19451
2011-03-15,19568
2011-03-16,19643
2011-03-17,20036
2011-03-18,14612
2011-03-19,17801
2011-03-20,14694
2011-03-21,20710
2011-03-22,21792
2011-03-23,23837
2011-03-24,23518
2011-03-25,24343
2011-03-26,16095
2011-03-27,17550
2011-03-28,21602
2011-03-29,22080
2011-03-30,18945
2011-03-31,20831
2011-04-01,22048
2011-04-02,19829
2011-04-03,17294
2011-04-04,20949
2011-04-05,16690
2011-04-06,25597
2011-04-07,25451
2011-04-08,26622
2011-04-09,22323
2011-04-10,21346
2011-04-11,22204
2011-04-12,23651
2011-04-13,18909
2011-04-14,22346
2011-04-15,22974
2011-04-16,19632
2011-04-17,22009
2011-04-18,24032
2011-04-19,27914
2011-04-20,27934
2011-04-21,26547
2011-04-22,23719
2011-04-23,19182
2011-04-24,21313
2011-04-25,21669
2011-04-26,22038
2011-04-27,24349
2011-04-28,23794
2011-04-29,19700
2011-04-30,21574
2011-05-01,19489
2011-05-02,18126
2011-05-03,23786
2011-05-04,26183
2011-05-05,23620
2011-05-06,28971
2011-05-07,22274
2011-05-08,21011
2011-05-09,27172
2011-05-10,29417
2011-05-11,27205
2011-05-12,23461
2011-05-13,23991
2011-05-14,21100
2011-05-15,19097
2011-05-16,24620
2011-05-17,25464
2011-05-18,23068
2011-05-19,27534
2011-05-20,27523
2011-05-21,24408
2011-05-22,19348
2011-05-23,24268
2011-05-24,27768
2011-05-25,28708
2011-05-26,18055
2011-05-27,22907
2011-05-28,15693
2011-05-29,18396
2011-05-30,16097
2011-05-31,23312
2011-06-01,26054
2011-06-02,26920
2011-06-03,26641
2011-06-04,15233
2011-06-05,8420
2011-06-06,13812
2011-06-07,22378
2011-06-08,23013
2011-06-09,25061
2011-06-10,20141
2011-06-11,21059
2011-06-12,6061
2011-06-13,23978
2011-06-14,28889
2011-06-15,25643
2011-06-16,17566
2011-06-17,15723
2011-06-18,13721
2011-06-19,17092
2011-06-20,20101
2011-06-21,26780
2011-06-22,22745
2011-06-23,24559
2011-06-24,22137
2011-06-25,17944
2011-06-26,23483
2011-06-27,26243
2011-06-28,21950
2011-06-29,28073
2011-06-30,27297
2011-07-01,27758
2011-07-02,22764
2011-07-03,21423
2011-07-04,27332
2011-07-05,24802
2011-07-06,26207
2011-07-07,20483
2011-07-08,19485
2011-07-09,21360
2011-07-10,20203
2011-07-11,26355
2011-07-12,26633
2011-07-13,25417
2011-07-14,26479
2011-07-15,27114
2011-07-16,10224
2011-07-17,10965
2011-07-18,18541
2011-07-19,21218
2011-07-20,21580
2011-07-21,20951
2011-07-22,25172
2011-07-23,20264
2011-07-24,22464
2011-07-25,25185
2011-07-26,25636
2011-07-27,24989
2011-07-28,26759
2011-07-29,25373
2011-07-30,23930
2011-07-31,21388
2011-08-01,22940
2011-08-02,24290
2011-08-03,26120
2011-08-04,15149
2011-08-05,26792
2011-08-06,20485
2011-08-07,14912
2011-08-08,23489
2011-08-09,23011
2011-08-10,24182
2011-08-11,20573
2011-08-12,22971
2011-08-13,20731
2011-08-14,21115
2011-08-15,23657
2011-08-16,24899
2011-08-17,23010
2011-08-18,16139
2011-08-19,25444
2011-08-20,17334
2011-08-21,21836
2011-08-22,25222
2011-08-23,10953
2011-08-24,22883
2011-08-25,20026
2011-08-26,12368
2011-08-27,14045
2011-08-28,15908
2011-08-29,17443
2011-08-30,21477
2011-08-31,23036
2011-09-01,25110
2011-09-02,25981
2011-09-03,24578
2011-09-04,14967
2011-09-05,21776
2011-09-06,13863
2011-09-07,22746
2011-09-08,23679
2011-09-09,23957
2011-09-10,20069
2011-09-11,17719
2011-09-12,21572
2011-09-13,23962
2011-09-14,25824
2011-09-15,25803
2011-09-16,25567
2011-09-17,15147
2011-09-18,17327
2011-09-19,23708
2011-09-20,23676
2011-09-21,22730
2011-09-22,24601
2011-09-23,25114
2011-09-24,22113
2011-09-25,21211
2011-09-26,20527
2011-09-27,24841
2011-09-28,28434
2011-09-29,29039
2011-09-30,29139
2011-10-01,27129
2011-10-02,26906
2011-10-03,27559
2011-10-04,26131
2011-10-05,26263
2011-10-06,25083
2011-10-07,24529
2011-10-08,18154
2011-10-09,17643
2011-10-10,24198
2011-10-11,26184
2011-10-12,26323
2011-10-13,25149
2011-10-14,26542
2011-10-15,23663
2011-10-16,18530
2011-10-17,23892
2011-10-18,23791
2011-10-19,23259
2011-10-20,23157
2011-10-21,23253
2011-10-22,20482
2011-10-23,18560
2011-10-24,22842
2011-10-25,22771
2011-10-26,17621
2011-10-27,19360
2011-10-28,23158
2011-10-29,18228
2011-10-30,15443
2011-10-31,22999
2011-11-01,22747
2011-11-02,23724
2011-11-03,18676
2011-11-04,18774
2011-11-05,16434
2011-11-06,14317
2011-11-07,20365
2011-11-08,19231
2011-11-09,22542
2011-11-10,23475
2011-11-11,21140
2011-11-12,18933
2011-11-13,17744
2011-11-14,19913
2011-11-15,22245
2011-11-16,21639
2011-11-17,22802
2011-11-18,22461
2011-11-19,18706
2011-11-20,14829
2011-11-21,20824
2011-11-22,20341
2011-11-23,21855
2011-11-24,21870
2011-11-25,21598
2011-11-26,15803
2011-11-27,14362
2011-11-28,20167
2011-11-29,18718
2011-11-30,20956
2011-12-01,16481
2011-12-02,19146
2011-12-03,13776
2011-12-04,10276
2011-12-05,18176
2011-12-06,18943
2011-12-07,19279
2011-12-08,17313
2011-12-09,18421
2011-12-10,11864
2011-12-11,8368
2011-12-12,16554
2011-12-13,17111
2011-12-14,17543
2011-12-15,17081
2011-12-16,11778
2011-12-17,8925
2011-12-18,7485
2011-12-19,11270
2011-12-20,15685
2011-12-21,14158
2011-12-22,15099
2011-12-23,9131
2011-12-24,4890
2011-12-25,17998
2011-12-26,10953
2011-12-27,8076
2011-12-28,9888
2011-12-29,8368
2011-12-30,6900
2011-12-31,7793
2012-01-01,5171
2012-01-02,9091
2012-01-03,10094
2012-01-04,13936
2012-01-05,14191
2012-01-06,17713
2012-01-07,12556
2012-01-08,10487
2012-01-09,19472
2012-01-10,20548
2012-01-11,20958
2012-01-12,20879
2012-01-13,19691
2012-01-14,13843
2012-01-15,12149
2012-01-16,19136
2012-01-17,20170
2012-01-18,17972
2012-01-19,15441
2012-01-20,18703
2012-01-21,13339
2012-01-22,12845
2012-01-23,20193
2012-01-24,13269
2012-01-25,20836
2012-01-26,19515
2012-01-27,20775
2012-01-28,13272
2012-01-29,10949
2012-01-30,18955
2012-01-31,18176
2012-02-01,18208
2012-02-02,16916
2012-02-03,16185
2012-02-04,8348
2012-02-05,3531
2012-02-06,15202
2012-02-07,17722
2012-02-08,16442
2012-02-09,16363
2012-02-10,15117
2012-02-11,9912
2012-02-12,8020
2012-02-13,13172
2012-02-14,17946
2012-02-15,19396
2012-02-16,19505
2012-02-17,19444
2012-02-18,9463
2012-02-19,12655
2012-02-20,18802
2012-02-21,20861
2012-02-22,18112
2012-02-23,23391
2012-02-24,22067
2012-02-25,19349
2012-02-26,17646
2012-02-27,20936
2012-02-28,23423
2012-02-29,23692
2012-03-01,25116
2012-03-02,21928
2012-03-03,17697
2012-03-04,5062
2012-03-05,19342
2012-03-06,21102
2012-03-07,17096
2012-03-08,24123
2012-03-09,23609
2012-03-10,24721
2012-03-11,27758
2012-03-12,28856
2012-03-13,27528
2012-03-14,28296
2012-03-15,29969
2012-03-16,26452
2012-03-17,13391
2012-03-18,19184
2012-03-19,28391
2012-03-20,30817
2012-03-21,31175
2012-03-22,31135
2012-03-23,33635
2012-03-24,35091
2012-03-25,28607
2012-03-26,32368
2012-03-27,34563
2012-03-28,36539
2012-03-29,35954
2012-03-30,35666
2012-03-31,23038
2012-04-01,30513
2012-04-02,32142
2012-04-03,25956
2012-04-04,27912
2012-04-05,24383
2012-04-06,22354
2012-04-07,16848
2012-04-08,15717
2012-04-09,6214
2012-04-10,24898
2012-04-11,29345
2012-04-12,25772
2012-04-13,27673
2012-04-14,26193
2012-04-15,10188
2012-04-16,28188
2012-04-17,20105
2012-04-18,16651
2012-04-19,18759
2012-04-20,22730
2012-04-21,22014
2012-04-22,19707
2012-04-23,19262
2012-04-24,27522
2012-04-25,12737
2012-04-26,21740
2012-04-27,24263
2012-04-28,7827
2012-04-29,9951
2012-04-30,31909
2012-05-01,24523
2012-05-02,28381
2012-05-03,23768
2012-05-04,25503
2012-05-05,16009
2012-05-06,17160
2012-05-07,15227
2012-05-08,28585
2012-05-09,21758
2012-05-10,26164
2012-05-11,31385
2012-05-12,30699
2012-05-13,28778
2012-05-14,23344
2012-05-15,18409
2012-05-16,31453
2012-05-17,31219
2012-05-18,30945
2012-05-19,28474
2012-05-20,22286
2012-05-21,30905
2012-05-22,36720
2012-05-23,40486
2012-05-24,42008
2012-05-25,41357
2012-05-26,39358
2012-05-27,38781
2012-05-28,40872
2012-05-29,37962
2012-05-30,38803
2012-05-31,35630
2012-06-01,34524
2012-06-02,25283
2012-06-03,12207
2012-06-04,22649
2012-06-05,15537
2012-06-06,30297
2012-06-07,23066
2012-06-08,22224
2012-06-09,29258
2012-06-10,20876
2012-06-11,10252
2012-06-12,23742
2012-06-13,34447
2012-06-14,31593
2012-06-15,30944
2012-06-16,26300
2012-06-17,28531
2012-06-18,31089
2012-06-19,37601
2012-06-20,39267
2012-06-21,27052
2012-06-22,33027
2012-06-23,26900
2012-06-24,23509
2012-06-25,36337
2012-06-26,37652
2012-06-27,36767
2012-06-28,39571
2012-06-29,35321
2012-06-30,32982
2012-07-01,27438
2012-07-02,24963
2012-07-03,27163
2012-07-04,32433
2012-07-05,40565
2012-07-06,24723
2012-07-07,24782
2012-07-08,15855
2012-07-09,30523
2012-07-10,29723
2012-07-11,30544
2012-07-12,24736
2012-07-13,28875
2012-07-14,17999
2012-07-15,29938
2012-07-16,24218
2012-07-17,36788
2012-07-18,29841
2012-07-19,37032
2012-07-20,31187
2012-07-21,34776
2012-07-22,38620
2012-07-23,42309
2012-07-24,45748
2012-07-25,45024
2012-07-26,46891
2012-07-27,42815
2012-07-28,44617
2012-07-29,26352
2012-07-30,41891
2012-07-31,35805
2012-08-01,41603
2012-08-02,43183
2012-08-03,43045
2012-08-04,39082
2012-08-05,30150
2012-08-06,37198
2012-08-07,38134
2012-08-08,42263
2012-08-09,46050
2012-08-10,47102
2012-08-11,44111
2012-08-12,41734
2012-08-13,36101
2012-08-14,41532
2012-08-15,36557
2012-08-16,38181
2012-08-17,40821
2012-08-18,40577
2012-08-19,35370
2012-08-20,37997
2012-08-21,39185
2012-08-22,39962
2012-08-23,36578
2012-08-24,33329
2012-08-25,17802
2012-08-26,31939
2012-08-27,27522
2012-08-28,37362
2012-08-29,30916
2012-08-30,30379
2012-08-31,37406
2012-09-01,33123
2012-09-02,27997
2012-09-03,39941
2012-09-04,40298
2012-09-05,40606
2012-09-06,39864
2012-09-07,41414
2012-09-08,40978
2012-09-09,39006
2012-09-10,35489
2012-09-11,37276
2012-09-12,35654
2012-09-13,37938
2012-09-14,36653
2012-09-15,36493
2012-09-16,29785
2012-09-17,35954
2012-09-18,37026
2012-09-19,36136
2012-09-20,35929
2012-09-21,32347
2012-09-22,33867
2012-09-23,8452
2012-09-24,21229
2012-09-25,33706
2012-09-26,27202
2012-09-27,32416
2012-09-28,31880
2012-09-29,31223
2012-09-30,25263
2012-10-01,23627
2012-10-02,30107
2012-10-03,32695
2012-10-04,35136
2012-10-05,23773
2012-10-06,30424
2012-10-07,27168
2012-10-08,22984
2012-10-09,32965
2012-10-10,35221
2012-10-11,25324
2012-10-12,31694
2012-10-13,26289
2012-10-14,25440
2012-10-15,30558
2012-10-16,33253
2012-10-17,30285
2012-10-18,32566
2012-10-19,21001
2012-10-20,25411
2012-10-21,15563
2012-10-22,27294
2012-10-23,31996
2012-10-24,33882
2012-10-25,29515
2012-10-26,26404
2012-10-27,17144
2012-10-28,15305
2012-10-29,24276
2012-10-30,30325
2012-10-31,29241
2012-11-01,26888
2012-11-02,28748
2012-11-03,21498
2012-11-04,11693
2012-11-05,27666
2012-11-06,27038
2012-11-07,29537
2012-11-08,29895
2012-11-09,29349
2012-11-10,18018
2012-11-11,20971
2012-11-12,23680
2012-11-13,30511
2012-11-14,31453
2012-11-15,30165
2012-11-16,28143
2012-11-17,20325
2012-11-18,21664
2012-11-19,28127
2012-11-20,25921
2012-11-21,20554
2012-11-22,27783
2012-11-23,27973
2012-11-24,8902
2012-11-25,16894
2012-11-26,20656
2012-11-27,20388
2012-11-28,21403
2012-11-29,26212
2012-11-30,24838
2012-12-01,16068
2012-12-02,15227
2012-12-03,23592
2012-12-04,26144
2012-12-05,23111
2012-12-06,22645
2012-12-07,20140
2012-12-08,17805
2012-12-09,14147
2012-12-10,23937
2012-12-11,23531
2012-12-12,22344
2012-12-13,21704
2012-12-14,17085
2012-12-15,16962
2012-12-16,14128
2012-12-17,22899
2012-12-18,23651
2012-12-19,16828
2012-12-20,12401
2012-12-21,20395
2012-12-22,5644
2012-12-23,9184
2012-12-24,7985
2012-12-25,16816
2012-12-26,10405
2012-12-27,9013
2012-12-28,10947
2012-12-29,8498
2012-12-30,11343
2012-12-31,8865
2013-01-01,12149
2013-01-02,16203
2013-01-03,21269
2013-01-04,22435
2013-01-05,16242
2013-01-06,13622
2013-01-07,23348
2013-01-08,25909
2013-01-09,25341
2013-01-10,24363
2013-01-11,23869
2013-01-12,13562
2013-01-13,12260
2013-01-14,17427
2013-01-15,22797
2013-01-16,22460
2013-01-17,22210
2013-01-18,13108
2013-01-19,7843
2013-01-20,3728
2013-01-21,13467
2013-01-22,18061
2013-01-23,19404
2013-01-24,20721
2013-01-25,20178
2013-01-26,14595
2013-01-27,13689
2013-01-28,18689
2013-01-29,21268
2013-01-30,23415
2013-01-31,21957
2013-02-01,18081
2013-02-02,15757
2013-02-03,13572
2013-02-04,23017
2013-02-05,21177
2013-02-06,20664
2013-02-07,20852
2013-02-08,20571
